108,19616 Mackay,13024431,Blue Star,13863.0,HHF,No,3,Pershing,42.438148999999996,-83.075764
109,19928 Mackay,13024451,Blue Star,14921.0,HHF,No,3,Butler,42.440836,-83.075886
110,19961 Goddard,13024671,Blue Star,20070.8,HHF,No,3,Butler,42.441219,-83.077839
111,19935 Goddard,13024675-7,Blue Star,22803.53,HHF,No,3,Butler,42.440849,-83.077816
112,20192 Fleming,13024714-5,Gayanga Co,18565.0,Non-HHF,No,3,Butler,42.443868,-83.078517
113,20200 Fleming,13024716-7,Blue Star,15936.3,HHF,No,3,Butler,42.444012,-83.078526
114,20135 Fleming,13024760-1,Blue Star,29405.1,HHF,No,3,Butler,42.443046,-83.079174
115,4916 Bangor,14010445,Blue Star,13773.0,HHF,No,6,Chadsey Condon,42.342946000000005,-83.107759
116,7177 Mackenzie,16004387,Able Demolition,17191.8,HHF,No,6,Midwest,42.356801000000004,-83.14258000000001
117,2008 Magnolia,8000992,Blue Star,20592.1,HHF,No,6,Core City,42.341602,-83.07947800000001
118,2044 Seward,8001939,Salenbien Trucking & Excavating Inc.,19301.28,HHF,No,5,LaSalle Gardens,42.368265,-83.097266
119,1635 W Philadelphia,8002134,Dore & Associates,16000.0,Non-HHF,No,5,Herman Kiefer,42.371936,-83.09376999999999
120,19970 Bloom,13015291,Blue Star,14943.2,HHF,No,3,Farwell,42.442381,-83.049208
121,20050 Bloom,13015298-9,Blue Star,14857.8,HHF,No,3,Farwell,42.443253000000006,-83.04925899999999
122,20276 Bloom,13015319,Blue Star,14191.1,HHF,No,3,Farwell,42.445516999999995,-83.04936500000001
123,20284 Bloom,13015320,Blue Star,12015.0,HHF,No,3,Farwell,42.445626000000004,-83.049369
124,19961 Bloom,13015387,Blue Star,13669.0,HHF,No,3,Farwell,42.442141,-83.049796
125,1991 Highland,8003885,Rickman Enterprise Group,15305.0,Non-HHF,No,5,Dexter-Linwood,42.389734999999995,-83.110682
126,19344 Wexford,13021554,Able Demolition,15123.41,HHF,No,3,Pershing,42.436336,-83.065028
127,7004 Chalfonte,16006241,DMC Consultants,21958.0,Non-HHF,No,7,Chalfonte,42.400628000000005,-83.141376
128,13270 Marlowe,22040633,"Adamo Group, Inc.",15500.0,Non-HHF,No,1,Schoolcraft Southfield,42.385106,-83.189032
129,2001 Glynn Ct,8003153,Salenbien Trucking & Excavating Inc.,18475.28,HHF,No,5,Dexter-Linwood,42.381183,-83.105037
130,9763 Dundee,16005257,Smalley,18900.0,Non-HHF,No,7,Nardin Park,42.369315,-83.133836
131,19626 Eureka,13018399,Able Demolition,21807.42,HHF,No,3,Farwell,42.438608,-83.057775
132,19149 Eureka,13018608-9,Able Demolition,17333.41,HHF,No,3,Farwell,42.434002,-83.05807
133,2166 Scotten,14009548,Blue Star,24438.1,HHF,No,6,Central Southwest,42.323586999999996,-83.095479
134,20231 Revere,13022592,Able Demolition,16642.42,HHF,No,3,Farwell,42.444523,-83.069185
135,13857 MITCHELL,9011114,DMC Consultants,28500.0,Non-HHF,No,3,North Campau,42.416302,-83.06968499999999
136,19434 Harned,13024049-50,Blue Star,15077.4,HHF,No,3,Pershing,42.43742,-83.07324200000001
137,13276 Caldwell,13014163,DMC Consultants,25459.0,HHF,No,3,Buffalo Charles,42.415093,-83.046355
138,4652 PLUMER,16001246,Blue Star,16266.0,HHF,No,6,Central Southwest,42.324137,-83.101939
139,5923 St Hedwig,16001408,Den-Man Contractors,10540.0,Non-HHF,No,6,Central Southwest,42.326448,-83.112902
140,19164 Stotter,15005663,"Adamo Group, Inc.",18257.39,Non-HHF,No,3,Nortown,42.434940000000005,-83.02503100000001
141,19481 Stotter,15005854,Homrich,26498.89,HHF,No,3,Nortown,42.438513,-83.025749
142,19465 Stotter,15005856,Homrich,22240.89,HHF,No,3,Nortown,42.438316,-83.025743
143,20030 Derby,9024696,Gayanga Co,27420.0,Non-HHF,No,3,Nolan,42.441448,-83.10344
144,7036 Frederick,15000548,Den-Man Contractors,15936.0,Non-HHF,No,5,Gratiot Town/Ketterring,42.375295,-83.02115500000001
145,15702 Northlawn,16031805,Blue Star,18471.6,HHF,No,2,Fitzgerald/Marygrove,42.406307,-83.153222
146,15791 Fairfield,12012164,Blue Star,31953.6,HHF,No,2,Pilgrim Village,42.407748,-83.134781
147,3654 Hunt,13000923,Dore & Associates,19400.0,Non-HHF,No,5,McDougall-Hunt,42.355593,-83.019786
148,3701 Charlevoix,13001084,Gayanga Co,14015.0,Non-HHF,No,5,McDougall-Hunt,42.356953000000004,-83.019693
149,3602 Ludden,13001547,Smalley,15424.0,HHF,No,5,McDougall-Hunt,42.359681,-83.02354
150,3450 Pulford,13001700,Salenbien Trucking & Excavating Inc.,25868.97,HHF,No,5,McDougall-Hunt,42.360436,-83.025726
151,3683 Zender,13001744,Salenbien Trucking & Excavating Inc.,17414.97,HHF,No,5,McDougall-Hunt,42.362514000000004,-83.023774
152,16532 Turner,16027483,DMC Consultants,15386.0,Non-HHF,No,2,Fitzgerald/Marygrove,42.41277,-83.148646
153,3530 E Ferry,13003293,Smalley,18700.0,Non-HHF,No,5,Poletown East,42.373072,-83.033743
154,3708 Medbury,13003626,Den-Man Contractors,13550.0,Non-HHF,No,5,Poletown East,42.377301,-83.032963
155,3730 Taylor,14003296,DMC Consultants,15100.0,Non-HHF,No,5,Petoskey-Otsego,42.368722,-83.11750500000001
156,5538 Ivanhoe,16002982,Salenbien Trucking & Excavating Inc.,12297.28,HHF,No,6,Midwest,42.356572,-83.129868
157,8049 Burnette,16022434,Able Demolition,22738.8,HHF,No,6,Midwest,42.35285,-83.141062
158,8043 Wykes,16022461,Able Demolition,22211.7,HHF,No,6,Midwest,42.352745,-83.142075
