Address,Parcel ID,Contractor Name,Price,Primary Funding Source,Demolition Date,Commercial Building,Council_District,Neighborhood,Latitude,Longitude
16211 Indiana,16036036.,Homrich,"16,000.00",HHF,07/11/2015,No,2,Fitzgerald/Marygrove,42.411357,-83.158191
16500 Indiana,16035640.,Homrich,"22,400.00",HHF,05/13/2015,No,2,Fitzgerald/Marygrove,42.412295,-83.157641
16260 Indiana,16035639.,Homrich,"19,700.00",HHF,06/02/2015,No,2,Fitzgerald/Marygrove,42.412048999999996,-83.15762600000001
15320 Greenlawn,16029320.,Able Demolition,"24,678.00",HHF,02/24/2016,No,2,Fitzgerald/Marygrove,42.402946,-83.150261
13592 Wyoming,16037321.,Able Demolition,"11,822.05",HHF,06/22/2015,No,7,Davison-Schoolcraft,42.387445,-83.158731
13584 Wyoming,16037320.,Able Demolition,"11,864.98",HHF,06/22/2015,No,7,Davison-Schoolcraft,42.387349,-83.158728
13550 Wyoming,16037315.,Able Demolition,"11,372.60",HHF,06/22/2015,No,7,Davison-Schoolcraft,42.386869,-83.158714
13150 Wyoming,16037300.,"Adamo Group, Inc.","22,498.00",HHF,08/04/2015,No,7,Littlefield Community,42.38442,-83.158638
12764 Wyoming,16037287.,"Adamo Group, Inc.","22,859.00",HHF,08/05/2015,No,7,Littlefield Community,42.383072,-83.15859499999999
12724 Wyoming,16037282.,"Adamo Group, Inc.","22,726.00",HHF,07/06/2015,No,7,Littlefield Community,42.38256,-83.158578
12716 Wyoming,16037281.,"Adamo Group, Inc.","16,870.00",HHF,07/06/2015,No,7,Littlefield Community,42.382443,-83.158574
12650 Wyoming,16037273.,"Adamo Group, Inc.","21,565.00",HHF,07/17/2015,No,7,Littlefield Community,42.381557,-83.15854499999999
12410 Wyoming,16037267.,"Adamo Group, Inc.","22,489.00",HHF,07/23/2015,No,7,Littlefield Community,42.380595,-83.158519
12150 Wyoming,16037247.,"Adamo Group, Inc.","22,200.00",HHF,07/23/2015,No,7,Littlefield Community,42.378195,-83.158438
11728 Wyoming,18016039.,"Adamo Group, Inc.","21,712.00",HHF,07/17/2015,No,7,Grand River-I96,42.375351,-83.158334
11688 Wyoming,18016033.,"Adamo Group, Inc.","15,924.00",HHF,07/17/2015,No,7,Grand River-I96,42.374775,-83.158314
11658 Wyoming,18016029.,"Adamo Group, Inc.","13,818.00",HHF,07/06/2015,No,7,Grand River-I96,42.374390999999996,-83.158301
12057 Kentucky,16037233.,"Adamo Group, Inc.","22,498.00",HHF,07/06/2015,No,7,Littlefield Community,42.377212,-83.157962
1083 Beatrice,20012524.,DMC Consultants,"20,000.00",HHF,04/16/2016,No,6,Boynton,42.279959000000005,-83.1446
1049 Bassett,20011084.,Rickman Enterprise Group,"17,740.00",HHF,07/22/2015,No,6,Boynton,42.279009,-83.14107800000001
1912 Edsel,20014789.,Rickman Enterprise Group,"19,970.00",HHF,07/25/2015,No,6,Boynton,42.274456,-83.155679
1890 Electric,20014253.,Rickman Enterprise Group,"13,900.00",HHF,06/03/2015,No,6,Boynton,42.27442,-83.15455899999999
1827 Liddesdale,20013282.,Rickman Enterprise Group,"21,810.00",HHF,08/07/2015,No,6,Boynton,42.274646000000004,-83.151911
1258 Patricia,20014832.,Rickman Enterprise Group,"20,520.00",HHF,06/18/2015,No,6,Boynton,42.280356,-83.14998100000001
1450 Liddesdale,20013615.,Rickman Enterprise Group,"12,300.00",HHF,07/22/2015,No,6,Boynton,42.277829,-83.149558
1300 Liebold,20014288.,Rickman Enterprise Group,"21,730.00",HHF,07/31/2015,No,6,Boynton,42.279449,-83.14948299999999
1436 Liddesdale,20013617.,Rickman Enterprise Group,"15,360.00",HHF,07/29/2015,No,6,Boynton,42.277991,-83.14941999999999
1424 Liddesdale,20013619.,Rickman Enterprise Group,"17,450.00",HHF,07/31/2015,No,6,Boynton,42.278153,-83.149281
1410 Liddesdale,20013621.,Rickman Enterprise Group,"21,420.00",HHF,07/30/2015,No,6,Boynton,42.278315,-83.149142
1437 Liddesdale,20013269.,Rickman Enterprise Group,"11,920.00",HHF,07/29/2015,No,6,Boynton,42.277741999999996,-83.14887399999999
1320 Liddesdale,20013625.,Rickman Enterprise Group,"17,480.00",HHF,07/22/2015,No,6,Boynton,42.278779,-83.148761
1425 Liddesdale,20013267.,Rickman Enterprise Group,"16,410.00",HHF,07/01/2015,No,6,Boynton,42.277905,-83.148738
1273 Liebold,20013731-2,Rickman Enterprise Group,"18,230.00",HHF,06/19/2015,No,6,Boynton,42.279529,-83.148687
9608 Meyers,18018650.,"Adamo Group, Inc.","21,732.00",HHF,07/31/2015,No,7,Barton-McFarland,42.367592,-83.167596
11436 Pinehurst,18017569.,"Adamo Group, Inc.","18,918.00",HHF,07/22/2015,No,7,Barton-McFarland,42.373058,-83.16539
9615 Wyoming,18016103.,Able Demolition,"28,115.00",HHF,02/24/2016,No,7,Barton-McFarland,42.367216,-83.15856099999999
19436 Sussex,22046425.,Homrich,"14,800.00",HHF,06/08/2015,No,2,San Bernardo,42.434734999999996,-83.19595799999999
19330 Lauder,22042107.,Homrich,"17,200.00",HHF,06/10/2015,No,2,Seven Mile Lodge,42.433178999999996,-83.192099
16211 Coyle,22045406.,Homrich,"22,500.00",HHF,06/09/2015,No,1,Hubbell-Puritan,42.410546000000004,-83.19456
16562 Coyle,22045046.,Homrich,"14,800.00",HHF,06/19/2015,No,1,Hubbell-Puritan,42.412217,-83.193961
16698 Robson,22043817-8,Homrich,"15,300.00",HHF,06/19/2015,No,1,Hubbell-Puritan,42.414074,-83.192824
16519 Lauder,22042328.,Able Demolition,"10,706.00",HHF,02/29/2016,No,1,Hubbell-Puritan,42.411676,-83.192165
16157 Lauder,22042345.,Homrich,"16,426.00",HHF,10/20/2015,No,1,Hubbell-Puritan,42.409861,-83.192075
1706 Tyler,06003771.,Able Demolition,"17,523.50",HHF,06/18/2015,No,5,Dexter-Linwood,42.39535,-83.112078
1712 Buena Vista,06003708.,Able Demolition,"14,069.30",HHF,06/18/2015,No,5,Dexter-Linwood,42.394535999999995,-83.111653
1709 Leslie,06003585.,Able Demolition,"11,413.00",HHF,06/17/2015,No,5,Dexter-Linwood,42.392559000000006,-83.110152
14128 Lauder,22041823.,Homrich,"13,700.00",HHF,06/11/2015,No,1,Hubbell-Lyndon,42.389975,-83.190141
14122 Lauder,22041822.,Homrich,"13,400.00",HHF,06/11/2015,No,1,Hubbell-Lyndon,42.389872,-83.190105
14081 Marlowe,22041353.,Homrich,"14,200.00",HHF,06/12/2015,No,1,Hubbell-Lyndon,42.390266,-83.189723
14054 Marlowe,22040663.,Homrich,"14,200.00",HHF,06/12/2015,No,1,Hubbell-Lyndon,42.389896,-83.189153
9201 Whitcomb,22048240.,"Adamo Group, Inc.","10,114.00",HHF,08/19/2015,No,7,We Care Community,42.362048,-83.195305
