Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Latvia,13383,11735,8057,7792,8081,8110,8408,9238,9912,10208,10859,11787,12782,14020,15437,17192,19367,21438,20977,18300,18148,19405,20597,21699,22460,23282
Lebanon,7734,10497,10699,11136,11729,12254,12726,12347,12703,12475,12335,12356,12199,11998,12348,12258,12171,13122,14158,15393,16263,16431,16633,16623,16794,17050
Lesotho,1301,1326,1395,1413,1461,1466,1520,1563,1572,1563,1629,1684,1680,1747,1775,1810,1873,1947,2041,2091,2235,2301,2390,2473,2494,2598
Liberia,503,439,290,197,153,142,151,289,346,397,473,557,718,474,441,470,499,555,588,643,689,729,782,875,934,958
Libya,26928,30431,28944,27251,27202,23363,23533,22977,22502,22235,22682,21933,21390,23808,24489,26967,28256,29553,29853,29182,30261,11358,23032,19760,14887,17261
Liechtenstein,,,,,,,,,,,,,,,,,,,,,,,,,,
Lithuania,17041,16038,12629,10615,9599,10115,10606,11360,12200,12002,12484,13314,14268,15709,16913,18256,19923,22396,23223,20003,20758,22530,23711,24732,25708,26665
Luxembourg,56922,61019,61310,63033,64557,64568,64660,67646,71147,76102,81425,82071,83876,83849,86738,88944,91810,96245,95001,88284,91147,91469,89153,88850,88203,88314
"Macao, China",36984,37340,41375,42708,43778,44465,43547,42700,40077,38504,40091,40672,43688,48470,60450,64277,71760,79813,80191,79361,98722,117188,125515,136540,142893,148374
"Macedonia, FYR",9563,8995,8454,7878,7779,7700,7759,7805,7983,8242,8543,8229,8314,8473,8848,9247,9704,10319,10872,10824,11179,11431,11370,11664,12096,12547
Madagascar,1661,1510,1482,1468,1422,1402,1388,1394,1404,1424,1446,1487,1259,1342,1371,1393,1421,1468,1528,1426,1390,1372,1374,1369,1371,1400
Malawi,540,575,527,576,514,593,625,633,639,640,632,585,580,596,609,609,604,641,674,713,737,747,740,757,778,799
Malaysia,10159,10832,11491,12309,13107,14035,15051,15749,14231,14748,15695,15443,15950,16550,17342,17929,18582,19394,19968,19320,20398,21096,21920,22589,23579,24320
Maldives,4363,4555,4699,4850,5037,5264,5602,6120,6564,6950,7134,7247,7540,8452,9511,8619,10157,11040,12029,11096,11674,12694,12637,13353,14095,14408
Mali,1100,1095,1159,1106,1087,1126,1132,1178,1217,1265,1269,1382,1397,1456,1442,1483,1560,1576,1602,1622,1664,1658,1603,1589,1653,1684
Malta,16596,17459,18100,18732,19616,20720,21373,22344,23347,24330,25841,24685,25191,25059,24766,25510,25983,27001,27872,26888,27906,28178,28271,28822,29508,30265
Marshall Islands,2950,2881,3030,3169,3321,3562,3172,2950,2854,2777,2936,3092,3174,3183,3183,3272,3333,3454,3378,3316,3514,3510,3672,3776,3638,3661
Martinique,,,,,,,,,,,,,,,,,,,,,,,,,,
Mauritania,2800,2772,2745,2824,2660,2838,2916,2717,2711,2834,2738,2709,2646,2721,2792,2955,3413,3412,3356,3233,3299,3357,3470,3579,3718,3877
Mauritius,7568,7819,8219,8535,8764,9062,9471,9885,10375,10512,11349,11549,11711,12052,12665,12747,13188,13901,14615,15020,15599,16179,16651,17146,17731,18350
