School ID,Name of School,"Elementary, Middle, or High School",Street Address,City,ZIP Code,Network Manager,Collaborative Name,Adequate Yearly Progress Made? ,CPS Performance Policy Status,Healthy Schools Certified?,Safety Icon ,Safety Score,Family Involvement Icon,Family Involvement Score,Environment Icon ,Environment Score,Instruction Icon ,Instruction Score,Leaders Icon ,Teachers Icon ,Teachers Score,Parent Engagement Icon,Parent Engagement Score,Parent Environment Icon,Parent Environment Score,Average Student Attendance,Rate of Misconducts (per 100 students),Average Teacher Attendance,Individualized Education Program Compliance Rate ,Pk-2 Literacy %,Pk-2 Math %,Gr3-5 Grade Level Math %,Gr3-5 Grade Level Read % ,Gr3-5 Keep Pace Read %,Gr3-5 Keep Pace Math %,Gr6-8 Grade Level Math %,Gr6-8 Grade Level Read %,Gr6-8 Keep Pace Math%,Gr6-8 Keep Pace Read %,Gr-8 Explore Math %,Gr-8 Explore Read %,ISAT Exceeding Math %,ISAT Exceeding Reading % ,ISAT Value Add Math,ISAT Value Add Read,ISAT Value Add Color Math,ISAT Value Add Color Read,Students Taking  Algebra %,Students Passing  Algebra %,9th Grade EXPLORE (2009) ,9th Grade EXPLORE (2010) ,10th Grade PLAN (2009) ,10th Grade PLAN (2010) ,Net Change EXPLORE and PLAN,11th Grade Average ACT (2011) ,College Eligibility %,Graduation Rate %,College Enrollment Rate %,College Enrollment (number of students) ,General Services Route ,Freshman on Track Rate %,Latitude,Longitude
609782,John J Audubon Elementary School,ES,3500 N Hoyne Ave ,Chicago,60618,Ravenswood-Ridge Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,Yes,Not on Probation,No,Very Strong,95,Strong,73,Strong,75,Strong,60,Strong,Strong,65,Strong,61,Average,47,96.20%,4.5,96.70%,98.60%,NDA,54.3,72.1,68.9,65.5,76.7,67.5,70.3,82.6,65.3,31.6,36.8,45.3,34.8,1.2,1.1,Green,Green,47.4,61.1,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,580,33,NDA,41.94509808,-87.68107885
610126,John J Pershing Elementary Humanities Magnet,ES,3113 S Rhodes Ave ,Chicago,60616,Burnham Park Elementary Network,SOUTH SIDE COLLABORATIVE,Yes,Not on Probation,No,NDA,,Very Strong,90,NDA,,NDA,,Strong,Strong,78,NDA,NDA,NDA,NDA,95.50%,19.2,96.70%,100.00%,NDA,92.3,56.3,56.3,77.1,80.9,NDA,NDA,NDA,NDA,NDA,NDA,54.9,39.2,,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,258,40,NDA,41.83803465,-87.61334083
610054,John L Marsh Elementary School,ES,9822 S Exchange Ave ,Chicago,60617,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Probation,No,Strong,72,Average,53,Average,53,Weak,39,Average,Average,48,Average,50,Strong,55,95.70%,5.4,95.50%,99.10%,55.8,37.6,34.5,34.9,53.2,58.7,33.5,44.9,50.8,52.2,11.1,31.1,18.9,14.5,-0.9,-0.8,Red,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,841,47,NDA,41.71657908,-87.55251993
609723,John Marshall Metropolitan High School,HS,3250 W Adams St ,Chicago,60624,West Side High School Network,WEST SIDE COLLABORATIVE,No,Probation,No,Average,51,Average,52,Average,45,Average,46,Average,Average,42,NDA,NDA,NDA,NDA,74.10%,42.9,95.80%,100.00%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,,,,,NDA,NDA,NDA,NDA,11.7,11.8,13.4,13.2,1.5,14.6,6.5,36.8,45.2,726,38,55.2,41.87847194,-87.70801612
609710,John M Harlan Community Academy High School,HS,9652 S Michigan Ave ,Chicago,60628,Far South Side High School Network,FAR SOUTH SIDE COLLABORATIVE,No,Probation,No,NDA,,NDA,NDA,NDA,,NDA,,NDA,NDA,NDA,NDA,NDA,NDA,NDA,81.20%,21.6,94.40%,95.70%,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,16,40,17.8,15.6,-2.9,-0.8,Red,Yellow,100,40,13.2,12.9,14.1,13.7,0.5,14.7,5.9,47.9,55.7,1245,48,64.4,41.71840075,-87.62066069
609954,John Milton Gregory Elementary School,ES,3715 W Polk St ,Chicago,60624,Garfield-Humboldt Elementary Network,WEST SIDE COLLABORATIVE,No,Not on Probation,No,Average,44,Average,43,Weak,39,Average,43,Strong,Average,59,Average,49,Strong,55,95.20%,3.2,94.60%,100.00%,61.6,45.5,36.8,17.9,62.3,70.8,44.3,37.7,69.1,77.9,6.3,41.7,24.2,19.5,1.5,2.1,Green,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,323,37,NDA,41.87071468,-87.71867323
610180,John M Smyth Elementary School,ES,1059 W 13th St ,Chicago,60608,Fulton Elementary Network,WEST SIDE COLLABORATIVE,No,Probation,No,Weak,37,NDA,NDA,Average,54,Strong,64,NDA,NDA,NDA,Weak,43,Average,52,92.40%,20.1,93.30%,100.00%,67.8,NDA,17.6,10.6,38.1,46,24.8,12.3,54.2,38.8,1.4,1.4,6.3,3.2,1.1,-0.9,Green,Red,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,475,38,NDA,41.86532347,-87.65347031
610199,Johnnie Colemon Elementary Academy,ES,1441 W 119th St ,Chicago,60643,Lake Calumet Elementary Network,FAR SOUTH SIDE COLLABORATIVE,No,Not on Probation,No,Strong,60,NDA,NDA,Average,56,Strong,63,NDA,NDA,NDA,Average,53,Strong,57,95.90%,23.4,95.40%,100.00%,75.3,53.4,24.4,22.1,47.6,46.9,47.2,44.4,37.7,50.7,12.5,16.7,14.6,18.4,0.2,0.4,Yellow,Yellow,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,266,49,NDA,41.67747786,-87.65812011
610111,John Palmer Elementary School,ES,5051 N Kenneth Ave ,Chicago,60630,O'Hare Elementary Network,NORTH-NORTHWEST SIDE COLLABORATIVE,No,Not on Probation,No,Strong,75,NDA,NDA,Strong,61,Strong,68,NDA,NDA,NDA,Strong,65,Strong,61,96.30%,12.8,94.80%,99.20%,72.2,42.4,47.7,38,58.9,58.5,48.9,45.3,52.5,57.3,24.8,37.6,25.3,15.1,0.5,0.3,Green,Yellow,26.5,74.2,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,919,31,NDA,41.97326374,-87.73917547
609775,John P Altgeld Elementary School,ES,1340 W 71st St ,Chicago,60636,Englewood-Gresham Elementary Network,SOUTHWEST SIDE COLLABORATIVE,No,Probation,No,Average,48,Weak,37,Strong,64,Average,58,Weak,Weak,35,Weak,46,Average,48,91.90%,32.9,95.50%,100.00%,42.1,NDA,30.1,34.4,67.1,52.4,37.2,37.2,56,56.8,8.8,40.4,16.4,20.9,-0.8,3,Red,Green,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,NDA,527,43,NDA,41.76510322,-87.6582125
